InventoryID,ProductID,ProductName,WarehouseLocation,StockQuantity,ReorderLevel,LastRestockedDate,StockStatus
INV-000001,CHC-00636,Single Origin Dark Chocolate Bar,North America Distribution Center,445,114,2026-06-12,In Stock
INV-000002,CHC-00058,Value Pack Compound Chocolate Pralines,Europe Distribution Center,215,47,2026-06-30,In Stock
INV-000003,CHC-00707,Classic Milk Chocolate Bar,Europe Distribution Center,310,106,2026-06-21,In Stock
INV-000004,CHC-01194,Coconut Sugar Vegan Dark Chocolate Truffle Box,Latin America Distribution Center,667,133,2026-07-14,In Stock
INV-000005,CHC-00095,70% Intense Dark Chocolate Truffle Box,Asia Pacific Distribution Center,443,75,2026-07-22,In Stock
INV-000006,CHC-00560,Organic Fair-Trade Chocolate Gift Box,Latin America Distribution Center,194,42,2026-06-11,In Stock
INV-000007,CHC-00042,Gianduja Style Hazelnut Chocolate Filled Bar,North America Distribution Center,81,23,2026-07-14,In Stock
INV-000008,CHC-00877,Sea Salt Milk Chocolate Bar,Middle East & Africa Distribution Center,262,56,2026-07-06,In Stock
INV-000009,CHC-00110,Salted Butter Caramel Chocolate Truffle Box,Asia Pacific Distribution Center,990,300,2026-07-13,In Stock
INV-000010,CHC-01267,Espresso Infused Dark Chocolate Coated Nuts,Latin America Distribution Center,1122,326,2026-07-08,In Stock
INV-000011,CHC-00163,Honeycomb Milk Chocolate Coated Nuts,Latin America Distribution Center,868,146,2026-06-26,In Stock
INV-000012,CHC-00787,Coconut White Chocolate Pralines,Europe Distribution Center,271,70,2026-07-12,In Stock
INV-000013,CHC-01099,Raspberry Swirl White Chocolate Drops,Europe Distribution Center,775,268,2026-07-25,In Stock
INV-000014,CHC-00661,Sea Salt Caramel Chocolate Truffle Box,Latin America Distribution Center,206,52,2026-07-22,In Stock
INV-000015,CHC-00621,Classic Milk Chocolate Gift Box,Middle East & Africa Distribution Center,298,47,2026-07-02,In Stock
INV-000016,CHC-00457,Almond Crunch Chocolate Bar,Asia Pacific Distribution Center,725,137,2026-07-24,In Stock
INV-000017,CHC-00854,Salted Butter Caramel Chocolate Pralines,Asia Pacific Distribution Center,338,103,2026-07-19,In Stock
INV-000018,CHC-01153,Classic Sugar-Free Chocolate Pralines,Middle East & Africa Distribution Center,332,52,2026-07-10,In Stock
INV-000019,CHC-00331,70% Intense Dark Chocolate Drops,Asia Pacific Distribution Center,894,260,2026-06-15,In Stock
INV-000020,CHC-01203,Whole Hazelnut Chocolate Bar,Latin America Distribution Center,604,178,2026-07-28,In Stock
INV-000021,CHC-00972,Single Origin Dark Chocolate Wafer Bar,Europe Distribution Center,747,252,2026-07-17,In Stock
INV-000022,CHC-00788,Organic Raw Cacao Chocolate Squares,Asia Pacific Distribution Center,842,155,2026-06-07,In Stock
INV-000023,CHC-00636,Single Origin Dark Chocolate Bar,Middle East & Africa Distribution Center,603,128,2026-07-06,In Stock
