SaleID,Date,ProductID,ProductName,Region,Country,Channel,QuantitySold,UnitPrice,RevenueUSD
SALE-000001,2025-11-21,CHC-00400,Bakers Classic Compound Chocolate Pralines,Middle East & Africa,South Africa,Direct-to-Consumer,13,2.5,32.5
SALE-000002,2025-08-27,CHC-00153,Honeycomb Milk Chocolate Truffle Box,Latin America,Brazil,E-Commerce,24,3.17,76.08
SALE-000003,2026-04-21,CHC-00120,Oat Milk Blend Vegan Dark Chocolate Gift Box,Europe,France,Direct-to-Consumer,30,6.28,188.4
SALE-000004,2026-05-04,CHC-00437,Biscuit Milk Chocolate Truffle Box,North America,USA,Direct-to-Consumer,11,2.7,29.7
SALE-000005,2026-05-11,CHC-01049,Lemon Zest White Chocolate Squares,Europe,Italy,Wholesale Distributor,3,2.65,7.95
SALE-000006,2026-03-16,CHC-00190,70% Intense Dark Chocolate Gift Box,Europe,France,Wholesale Distributor,11,2.83,31.13
SALE-000007,2025-09-08,CHC-00079,Classic Milk Chocolate Coated Nuts,Europe,France,Wholesale Distributor,47,3.9,183.3
SALE-000008,2026-04-10,CHC-01436,Sea Salt Caramel Chocolate Squares,Middle East & Africa,Ghana,E-Commerce,3,4.05,12.15
SALE-000009,2026-07-09,CHC-00025,85% Extra Bold Dark Chocolate Wafer Bar,Latin America,Ecuador,Wholesale Distributor,63,3.2,201.6
SALE-000010,2026-06-10,CHC-01047,Praline Hazelnut Chocolate Squares,Latin America,Colombia,Duty-Free,5,4.61,23.05
SALE-000011,2025-12-14,CHC-00027,Diabetic Friendly Sugar-Free Chocolate Chips (Baking),Middle East & Africa,UAE,Duty-Free,18,3.81,68.58
SALE-000012,2026-01-07,CHC-00385,Berry Burst Ruby Chocolate Gift Box,Asia Pacific,Japan,Duty-Free,16,5.27,84.32
SALE-000013,2026-02-02,CHC-00642,Sea Salt Milk Chocolate Squares,Latin America,Brazil,Wholesale Distributor,55,2.41,132.55
SALE-000014,2026-03-21,CHC-00548,Sea Salt Milk Chocolate Coated Nuts,Middle East & Africa,UAE,Retail Store,48,3.79,181.92
SALE-000015,2026-01-29,CHC-01377,Classic Milk Chocolate Bar,Asia Pacific,Australia,Duty-Free,31,3.16,97.96
SALE-000016,2026-01-13,CHC-00834,Classic Sugar-Free Chocolate Wafer Bar,Asia Pacific,Japan,Duty-Free,10,5.81,58.1
SALE-000017,2025-12-29,CHC-00377,Espresso Infused Dark Chocolate Squares,Europe,Belgium,Direct-to-Consumer,20,2.75,55.0
SALE-000018,2025-12-14,CHC-00502,Single Origin Dark Chocolate Gift Box,North America,Mexico,Retail Store,22,3.18,69.96
SALE-000019,2026-04-01,CHC-00130,Praline Hazelnut Chocolate Gift Box,North America,Mexico,Direct-to-Consumer,15,3.04,45.6
SALE-000020,2025-11-11,CHC-00875,Raisin & Almond Fruit & Nut Chocolate Chips (Baking),Middle East & Africa,Cote d'Ivoire,Direct-to-Consumer,14,3.4,47.6
SALE-000021,2025-12-06,CHC-00131,Coconut White Chocolate Drops,North America,Canada,Duty-Free,21,2.68,56.28
SALE-000022,2025-10-09,CHC-00015,85% Extra Bold Dark Chocolate Filled Bar,Asia Pacific,Japan,Retail Store,51,5.24,267.24
SALE-000023,2026-03-19,CHC-01128,Honeycomb Milk Chocolate Gift Box,Latin America,Brazil,Retail Store,41,2.21,90.61
SALE-000024,2026-04-17,CHC-00321,Stevia Sweetened Sugar-Free Chocolate Chips (Baking),Asia Pacific,India,E-Commerce,32,3.91,125.12
SALE-000025,2026-01-07,CHC-00855,Coconut Sugar Vegan Dark Chocolate Gift Box,Europe,Switzerland,Direct-to-Consumer,18,3.48,62.64
SALE-000026,2025-09-25,CHC-01224,Berry Burst Ruby Chocolate Truffle Box,North America,USA,Duty-Free,15,6.28,94.2
SALE-000027,2026-07-07,CHC-00667,Espresso Infused Dark Chocolate Gift Box,Middle East & Africa,Ghana,E-Commerce,20,3.55,71.0
SALE-000028,2026-04-04,CHC-00089,Marzipan Style Almond Chocolate Drops,Europe,Switzerland,Wholesale Distributor,17,3.35,56.95
SALE-000029,2025-10-21,CHC-01114,Classic Milk Chocolate Pralines,Latin America,Ecuador,E-Commerce,23,3.38,77.74
SALE-000030,2025-12-28,CHC-01243,Diabetic Friendly Sugar-Free Chocolate Squares,Latin America,Peru,Duty-Free,17,5.23,88.91
SALE-000031,2026-05-26,CHC-00126,Almond Crunch Chocolate Bar,Latin America,Ecuador,E-Commerce,14,2.85,39.9
SALE-000032,2025-12-28,CHC-00705,Whole Hazelnut Chocolate Drops,Europe,Belgium,Wholesale Distributor,232,4.29,995.28
SALE-000033,2026-04-02,CHC-01406,Oat Milk Blend Vegan Dark Chocolate Truffle Box,Asia Pacific,Australia,E-Commerce,20,5.26,105.2
SALE-000034,2025-12-16,CHC-01139,Coconut White Chocolate Filled Bar,North America,USA,Wholesale Distributor,2,3.02,6.04
SALE-000035,2026-06-26,CHC-01299,Organic Fair-Trade Chocolate Gift Box,North America,Canada,Retail Store,14,6.39,89.46
SALE-000036,2025-09-22,CHC-00515,Coconut White Chocolate Wafer Bar,Asia Pacific,Australia,Wholesale Distributor,15,3.83,57.45
SALE-000037,2026-01-21,CHC-01014,Organic Raw Cacao Chocolate Chips (Baking),Europe,Netherlands,Duty-Free,74,5.47,404.78
SALE-000038,2026-04-28,CHC-01380,Whole Hazelnut Chocolate Wafer Bar,Europe,Italy,Wholesale Distributor,39,4.22,164.58
SALE-000039,2026-05-11,CHC-00101,Biscuit Milk Chocolate Gift Box,Europe,Belgium,Retail Store,50,4.33,216.5
SALE-000040,2026-05-10,CHC-01016,Honeycomb Milk Chocolate Pralines,Europe,Netherlands,Retail Store,13,2.03,26.39
SALE-000041,2026-01-31,CHC-01004,Cranberry Walnut Fruit & Nut Chocolate Squares,North America,Mexico,Retail Store,29,4.05,117.45
SALE-000042,2026-02-13,CHC-00428,Whole Hazelnut Chocolate Wafer Bar,Europe,Switzerland,E-Commerce,4,5.77,23.08
SALE-000043,2025-09-04,CHC-01392,Organic Single Origin Chocolate Wafer Bar,Europe,Switzerland,E-Commerce,21,6.56,137.76
SALE-000044,2026-07-01,CHC-00117,Sea Salt Caramel Chocolate Filled Bar,Asia Pacific,Indonesia,Duty-Free,2,3.94,7.88
SALE-000045,2026-07-14,CHC-01189,Citrus Ruby Chocolate Gift Box,Europe,United Kingdom,Wholesale Distributor,10,6.96,69.6
SALE-000046,2025-08-07,CHC-01043,Almond Crunch Chocolate Chips (Baking),Middle East & Africa,South Africa,Wholesale Distributor,49,3.56,174.44
SALE-000047,2026-01-04,CHC-01250,Organic Single Origin Chocolate Bar,Middle East & Africa,Cote d'Ivoire,Retail Store,15,3.77,56.55
