OrderID,CustomerName,ProductID,ProductName,Quantity,OrderDate,DeliveryStatus,Country,RevenueUSD
ORD-10000,"Brown, Roberts and Kelly",CHC-01292,Value Pack Compound Chocolate Bar,20,2025-12-02,Delivered,India,36.4
ORD-10001,Powell-Gordon,CHC-00798,Marzipan Style Almond Chocolate Truffle Box,16,2026-03-01,Delivered,Italy,65.92
ORD-10002,Salas-Cooper,CHC-01485,Espresso Infused Dark Chocolate Drops,21,2026-06-16,Delivered,Germany,52.5
ORD-10003,Pena Inc,CHC-00584,Marzipan Style Almond Chocolate Gift Box,35,2026-02-27,Shipped,Germany,120.05
ORD-10004,Lee-Reeves,CHC-00627,70% Intense Dark Chocolate Drops,135,2025-12-22,Delivered,Belgium,352.35
ORD-10005,Willis Ltd,CHC-00850,Honeycomb Milk Chocolate Truffle Box,10,2026-07-25,Delivered,Australia,22.2
ORD-10006,Mueller Inc,CHC-01499,Organic Single Origin Chocolate Squares,11,2025-11-06,Delivered,China,39.93
ORD-10007,Sharp-Blackwell,CHC-01408,Espresso Infused Dark Chocolate Pralines,31,2025-11-24,Delivered,Germany,128.03
ORD-10008,"Andrews, Ross and Rodriguez",CHC-00234,Coconut Sugar Vegan Dark Chocolate Drops,34,2025-10-10,Delivered,USA,205.02
ORD-10009,Lee Group,CHC-00173,Stevia Sweetened Sugar-Free Chocolate Drops,15,2026-04-09,Shipped,Brazil,69.75
ORD-10010,"Miranda, Brown and Mason",CHC-00218,70% Intense Dark Chocolate Truffle Box,105,2026-02-04,Processing,Peru,351.75
ORD-10011,"Carr, Jensen and Sims",CHC-01053,Berry Burst Ruby Chocolate Gift Box,79,2026-04-17,Delivered,United Kingdom,352.34
ORD-10012,"Norris, Walter and Miller",CHC-01044,Diabetic Friendly Sugar-Free Chocolate Truffle Box,20,2026-02-19,Delivered,France,76.4
ORD-10013,Estrada Group,CHC-00337,85% Extra Bold Dark Chocolate Filled Bar,27,2026-07-07,Delivered,UAE,162.81
ORD-10014,"Farmer, Garcia and White",CHC-00757,Raisin & Almond Fruit & Nut Chocolate Drops,16,2026-03-19,Delivered,Cote d'Ivoire,47.84
ORD-10015,Fisher Inc,CHC-00237,Classic Milk Chocolate Squares,52,2026-07-03,Delivered,Cote d'Ivoire,187.72
ORD-10016,"Smith, Wiggins and Taylor",CHC-00268,Whole Hazelnut Chocolate Coated Nuts,62,2026-01-07,Processing,France,199.64
ORD-10017,Hart-Scott,CHC-01177,Plant-Based Classic Vegan Dark Chocolate Filled Bar,6,2026-04-11,Shipped,Switzerland,20.4
ORD-10018,Lopez-Johnson,CHC-00521,Confectionery Grade Compound Chocolate Pralines,18,2026-05-20,Pending,Canada,28.98
ORD-10019,Jordan Ltd,CHC-00782,Vanilla Bean White Chocolate Gift Box,68,2026-07-26,Delivered,Australia,285.6
ORD-10020,"Peck, Brown and Bradley",CHC-00750,Coconut White Chocolate Truffle Box,12,2025-11-29,Pending,Switzerland,30.0
ORD-10021,Summers Group,CHC-00078,Tropical Mix Fruit & Nut Chocolate Coated Nuts,45,2026-02-04,Delivered,Mexico,151.2
ORD-10022,"Dominguez, Sullivan and Jones",CHC-00105,70% Intense Dark Chocolate Chips (Baking),24,2025-10-17,Shipped,South Africa,115.44
ORD-10023,"Hughes, Vargas and Pace",CHC-01392,Organic Single Origin Chocolate Wafer Bar,36,2026-03-06,Delivered,Switzerland,236.16
ORD-10024,Alvarez Group,CHC-01400,Tropical Mix Fruit & Nut Chocolate Drops,42,2026-03-19,Processing,Germany,161.28
ORD-10025,"Garcia, Newman and Lewis",CHC-01229,Salted Butter Caramel Chocolate Filled Bar,38,2026-06-09,Shipped,Belgium,182.78
ORD-10026,Sims Group,CHC-00642,Sea Salt Milk Chocolate Squares,17,2026-06-11,Shipped,Brazil,40.97
ORD-10027,Smith Ltd,CHC-01360,Cranberry Walnut Fruit & Nut Chocolate Gift Box,66,2026-07-12,Pending,Italy,254.76
ORD-10028,Hatfield Inc,CHC-01477,85% Extra Bold Dark Chocolate Truffle Box,35,2026-04-15,Delivered,UAE,108.15
ORD-10029,Kane and Sons,CHC-00521,Confectionery Grade Compound Chocolate Pralines,38,2025-10-31,Shipped,Canada,61.18
ORD-10030,Smith-Ball,CHC-00054,Raisin & Almond Fruit & Nut Chocolate Drops,19,2026-04-09,Delivered,Canada,55.48
ORD-10031,Hayes Ltd,CHC-00100,Marzipan Style Almond Chocolate Bar,38,2025-10-19,Delivered,Belgium,115.14
ORD-10032,Livingston LLC,CHC-00692,Vanilla Bean White Chocolate Squares,49,2026-07-27,Processing,Australia,109.27
ORD-10033,"Reeves, Foley and Blair",CHC-01500,Praline Hazelnut Chocolate Drops,51,2026-06-12,Pending,Australia,200.94
ORD-10034,Carter PLC,CHC-00795,Organic Single Origin Chocolate Coated Nuts,6,2025-12-06,Delivered,Mexico,38.4
ORD-10035,"Jimenez, Caldwell and Wu",CHC-00797,70% Intense Dark Chocolate Coated Nuts,89,2025-12-19,Delivered,France,353.33
ORD-10036,Love Inc,CHC-00119,Soft Caramel Core Chocolate Coated Nuts,19,2026-02-17,Shipped,United Kingdom,65.55
ORD-10037,Smith Ltd,CHC-00266,Confectionery Grade Compound Chocolate Wafer Bar,9,2026-07-23,Shipped,Mexico,20.97
ORD-10038,"Roth, Miller and Collins",CHC-00200,Biscuit Milk Chocolate Coated Nuts,31,2026-01-08,Delivered,France,110.98
ORD-10039,"Greene, Rosario and Conley",CHC-01422,Confectionery Grade Compound Chocolate Drops,60,2025-11-13,Delivered,United Kingdom,85.2
ORD-10040,"Brown, Richardson and Andrews",CHC-00172,Marzipan Style Almond Chocolate Squares,59,2025-11-25,Pending,Germany,254.88
ORD-10041,Harrison-Jackson,CHC-01129,Vanilla Bean White Chocolate Truffle Box,27,2026-04-30,Delivered,Australia,62.37
ORD-10042,Cox Ltd,CHC-00112,Soft Caramel Core Chocolate Pralines,17,2026-02-17,Processing,USA,57.46
ORD-10043,Soto Group,CHC-01371,Single Origin Dark Chocolate Squares,68,2026-07-28,Processing,Mexico,261.12
ORD-10044,Cruz-Hartman,CHC-01257,Praline Hazelnut Chocolate Drops,85,2026-07-20,Processing,Ecuador,397.8
ORD-10045,Mueller-Knight,CHC-00182,Lemon Zest White Chocolate Chips (Baking),31,2026-05-11,Pending,Switzerland,94.24
ORD-10046,Ramirez-Howell,CHC-00228,Raspberry Swirl White Chocolate Drops,80,2025-11-04,Pending,Switzerland,356.8
ORD-10047,"Warner, Wilcox and Rivera",CHC-00703,Classic Milk Chocolate Gift Box,55,2026-05-20,Delivered,Switzerland,122.65
ORD-10048,"Swanson, Smith and Hernandez",CHC-01307,Roasted Almond Chocolate Truffle Box,151,2026-07-06,Delivered,USA,744.43
ORD-10049,Richards-Bray,CHC-00383,85% Extra Bold Dark Chocolate Pralines,25,2026-07-18,Delivered,Brazil,127.5
ORD-10050,Bennett Ltd,CHC-00998,Confectionery Grade Compound Chocolate Squares,21,2026-03-07,Pending,Australia,37.59
ORD-10051,Guzman-Kemp,CHC-00719,Coconut White Chocolate Truffle Box,19,2026-07-15,Pending,India,66.5
ORD-10052,Campbell-Smith,CHC-01427,Coconut Sugar Vegan Dark Chocolate Pralines,31,2026-02-17,Delivered,Germany,113.77
ORD-10053,Adams-Moore,CHC-01127,85% Extra Bold Dark Chocolate Drops,137,2026-06-30,Pending,Brazil,431.55
ORD-10054,Roberts and Sons,CHC-00116,Almond Crunch Chocolate Bar,30,2026-01-08,Shipped,Italy,163.2
ORD-10055,"Thomas, Hester and Robles",CHC-00142,Almond Crunch Chocolate Drops,232,2026-07-04,Delivered,Cote d'Ivoire,805.04
ORD-10056,"Cohen, Mcintyre and Reed",CHC-00853,Single Origin Dark Chocolate Truffle Box,39,2026-03-06,Pending,France,99.45
ORD-10057,Fernandez Group,CHC-01312,Citrus Ruby Chocolate Squares,38,2026-03-02,Delivered,South Africa,253.84
ORD-10058,Gonzalez-Christensen,CHC-00459,Diabetic Friendly Sugar-Free Chocolate Gift Box,31,2026-04-10,Delivered,Mexico,128.03
ORD-10059,Collins Inc,CHC-01408,Espresso Infused Dark Chocolate Pralines,29,2026-04-10,Shipped,Germany,119.77
ORD-10060,"Foster, Erickson and Howe",CHC-00229,Cranberry Walnut Fruit & Nut Chocolate Wafer Bar,12,2026-03-29,Processing,Ghana,58.92
ORD-10061,"Potter, Conner and Stevens",CHC-01406,Oat Milk Blend Vegan Dark Chocolate Truffle Box,20,2026-03-31,Shipped,Australia,105.2
ORD-10062,Herrera LLC,CHC-01464,Espresso Infused Dark Chocolate Truffle Box,22,2026-06-06,Delivered,Switzerland,110.66
ORD-10063,Hall PLC,CHC-01430,Single Origin Dark Chocolate Chips (Baking),5,2025-11-13,Delivered,Cote d'Ivoire,16.35
ORD-10064,"Prince, Dyer and Boyd",CHC-01473,Marzipan Style Almond Chocolate Coated Nuts,12,2026-02-06,Delivered,Netherlands,60.84
ORD-10065,Hunter-Harris,CHC-00308,Espresso Infused Dark Chocolate Drops,15,2026-06-26,Delivered,India,46.05
ORD-10066,Lee and Sons,CHC-00862,Roasted Almond Chocolate Filled Bar,41,2026-05-21,Delivered,Mexico,162.77
ORD-10067,"Roberts, Lane and Howard",CHC-00101,Biscuit Milk Chocolate Gift Box,111,2026-05-19,Shipped,Belgium,480.63
ORD-10068,"Vincent, Sanchez and Livingston",CHC-00873,Honeycomb Milk Chocolate Filled Bar,65,2025-11-24,Pending,India,161.85
ORD-10069,Brooks-Rodriguez,CHC-01085,Tropical Mix Fruit & Nut Chocolate Bar,56,2026-07-25,Delivered,Switzerland,213.36
ORD-10070,"Ford, Miller and Stewart",CHC-01342,Espresso Infused Dark Chocolate Coated Nuts,217,2026-07-15,Shipped,Australia,1200.01
ORD-10071,Cooper PLC,CHC-01075,Lemon Zest White Chocolate Filled Bar,77,2026-05-14,Delivered,USA,277.97
ORD-10072,"Smith, Johnson and Mooney",CHC-01134,Classic Sugar-Free Chocolate Truffle Box,136,2026-04-06,Pending,South Africa,776.56
ORD-10073,"Tucker, Bradley and Green",CHC-00271,Stevia Sweetened Sugar-Free Chocolate Pralines,85,2025-10-21,Pending,Germany,360.4
ORD-10074,Simmons-Potts,CHC-01398,Sea Salt Milk Chocolate Coated Nuts,49,2026-03-25,Pending,India,115.64
ORD-10075,"Fuentes, Richmond and King",CHC-00567,Roasted Almond Chocolate Squares,9,2026-03-28,Delivered,Germany,42.03
ORD-10076,Morgan and Sons,CHC-00610,Single Origin Dark Chocolate Wafer Bar,127,2026-02-28,Delivered,Canada,796.29
ORD-10077,Miller-Williams,CHC-01065,Vanilla Bean White Chocolate Gift Box,12,2025-11-12,Delivered,USA,34.56
ORD-10078,"Wood, Thornton and Tucker",CHC-00711,Original Ruby Chocolate Truffle Box,8,2026-01-18,Pending,Peru,60.24
ORD-10079,Roy Ltd,CHC-00873,Honeycomb Milk Chocolate Filled Bar,13,2025-10-27,Shipped,India,32.37
ORD-10080,Weeks-Mccarthy,CHC-01018,Organic Raw Cacao Chocolate Bar,10,2025-11-03,Processing,Cote d'Ivoire,38.4
