ProductID,ProductName,Brand,Variety,Factory,Country,SupplierName,UnitsProducedMonthly,UnitsSoldMonthly,UnitPrice,RevenueMonthly,ProductionCost,Profit,StockQuantity,QualityScore
CHC-00001,Berry Burst Ruby Chocolate Pralines,Sunset Grove Chocolate,Ruby,Bristol Factory H,United Kingdom,Global Cocoa Partners,2890,2760,4.15,11454.0,4970.8,6483.2,252,80.6
CHC-00002,Raspberry Swirl White Chocolate Coated Nuts,Choco Artisan,White,Portland Factory A,USA,Ghana Bean Collective,7286,6987,3.78,26410.86,16976.38,9434.48,360,97.4
CHC-00003,Confectionery Grade Compound Chocolate Pralines,Golden Bean Co.,Compound,Turin Factory J,Italy,Heritage Almond Growers,2245,1505,2.21,3326.05,2940.95,385.1,888,84.3
CHC-00004,Cranberry Walnut Fruit & Nut Chocolate Pralines,Auric Chocolate,Fruit & Nut,Munich Factory C,Germany,Alpine Dairy Co.,15436,10644,3.65,38850.6,37972.56,878.04,4887,93.5
CHC-00005,Roasted Almond Chocolate Wafer Bar,Auric Chocolate,Almond,Bristol Factory H,United Kingdom,Ivory Cocoa Traders,2729,2549,3.74,9533.26,4775.75,4757.51,466,77.6
CHC-00006,Stevia Sweetened Sugar-Free Chocolate Filled Bar,Highland Cacao,Sugar-Free,Zurich Factory E,Switzerland,Coastal Coconut Co.,2266,2319,5.0,11595.0,6888.64,4706.36,159,92.2
CHC-00007,Almond Crunch Chocolate Pralines,Cocoa Bloom,Almond,Melbourne Factory N,Australia,Global Cocoa Partners,7176,6772,5.1,34537.2,24254.88,10282.32,637,96.9
CHC-00008,Plant-Based Classic Vegan Dark Chocolate Drops,Rainforest Bloom,Vegan Dark,Bern Factory B,Switzerland,Coastal Coconut Co.,3642,3597,6.06,21797.82,12127.86,9669.96,337,86.1
CHC-00009,Confectionery Grade Compound Chocolate Drops,Terra Cacao,Compound,Munich Factory C,Germany,Heritage Almond Growers,3904,2697,1.57,4234.29,3357.44,876.85,1459,95.5
CHC-00010,70% Intense Dark Chocolate Gift Box,Highland Cacao,Dark,Antwerp Factory A,Belgium,Coastal Coconut Co.,2118,1555,3.29,5115.95,4024.2,1091.75,763,90.4
CHC-00011,Biscuit Milk Chocolate Bar,Noir Origins,Milk,Bordeaux Factory D,France,Nordic Milk Co.,1209,1056,2.92,3083.52,2357.55,725.97,238,100.0
CHC-00012,Whole Hazelnut Chocolate Drops,Bean & Bloom,Hazelnut,Amsterdam Factory I,Netherlands,Pacific Sugar Mills,14170,12750,5.87,74842.5,47752.9,27089.6,1510,86.8
CHC-00013,70% Intense Dark Chocolate Wafer Bar,Sunset Grove Chocolate,Dark,Lyon Factory G,France,Continental Sugar Corp,3772,2975,4.13,12286.75,7732.6,4554.15,1088,86.8
CHC-00014,Sea Salt Milk Chocolate Chips (Baking),Cacao Verde,Milk,Lyon Factory G,France,Sunrise Vanilla Farms,1946,1399,2.09,2923.91,2724.4,199.51,757,81.1
CHC-00015,85% Extra Bold Dark Chocolate Filled Bar,Golden Bean Co.,Dark,Osaka Factory M,Japan,Pacific Sugar Mills,5843,5048,5.24,26451.52,12971.46,13480.06,937,87.6
CHC-00016,Classic Milk Chocolate Coated Nuts,Maison Cacao,Milk,Amsterdam Factory I,Netherlands,Meridian Cacao Exchange,3252,3025,2.74,8288.5,4487.76,3800.74,419,93.5
CHC-00017,Coconut Sugar Vegan Dark Chocolate Squares,Pure Bloom Chocolatiers,Vegan Dark,Hershey Falls Factory X,USA,Amazon Cacao Growers,4845,3941,6.35,25025.35,15649.35,9376.0,976,83.1
CHC-00018,Praline Hazelnut Chocolate Pralines,Cacao & Co.,Hazelnut,Dubai Factory W,UAE,Sahara Nut Suppliers,17120,15179,3.3,50090.7,25680.0,24410.7,2161,97.7
CHC-00019,Biscuit Milk Chocolate Gift Box,Ivory & Cocoa,Milk,Lyon Factory G,France,Meridian Cacao Exchange,2684,2949,3.57,10527.93,4884.88,5643.05,10,84.5
CHC-00020,Lemon Zest White Chocolate Chips (Baking),Cacao & Co.,White,Bern Factory B,Switzerland,Meridian Cacao Exchange,4298,3689,4.46,16452.94,8209.18,8243.76,804,90.0
CHC-00021,Espresso Infused Dark Chocolate Wafer Bar,Whisk & Wonder,Dark,Osaka Factory M,Japan,Continental Sugar Corp,2291,2049,6.02,12334.98,6071.15,6263.83,319,97.8
CHC-00022,Classic Milk Chocolate Truffle Box,Whisk & Wonder,Milk,Bern Factory B,Switzerland,Global Cocoa Partners,4494,4659,3.55,16539.45,9437.4,7102.05,95,84.4
CHC-00023,Sea Salt Caramel Chocolate Wafer Bar,Rainforest Bloom,Caramel,Bruges Factory D,Belgium,Nordic Milk Co.,8436,7120,2.88,20505.6,15184.8,5320.8,1365,89.5
CHC-00024,Coconut White Chocolate Truffle Box,Rainforest Bloom,White,Dubai Factory W,UAE,Andes Bean Exporters,2470,1925,4.24,8162.0,5211.7,2950.3,568,86.6
CHC-00025,85% Extra Bold Dark Chocolate Wafer Bar,Cacao Verde,Dark,Guayaquil Factory Q,Ecuador,Sahara Nut Suppliers,7790,6850,3.2,21920.0,13866.2,8053.8,1060,83.1
CHC-00026,Organic Single Origin Chocolate Coated Nuts,Sunset Grove Chocolate,Organic,Jakarta Factory O,Indonesia,EcoPack Solutions,1389,1279,3.77,4821.83,2930.79,1891.04,329,92.3
CHC-00027,Diabetic Friendly Sugar-Free Chocolate Chips (Baking),Sunset Grove Chocolate,Sugar-Free,Dubai Factory W,UAE,Continental Sugar Corp,5664,5437,3.81,20714.97,11951.04,8763.93,274,73.4
CHC-00028,Raspberry Swirl White Chocolate Gift Box,Cacao Nomad,White,Bordeaux Factory D,France,Sunrise Vanilla Farms,3126,2810,2.57,7221.7,4188.84,3032.86,578,81.1
CHC-00029,Praline Hazelnut Chocolate Wafer Bar,Ember & Oak,Hazelnut,Medellin Factory R,Colombia,Nordic Milk Co.,4308,4340,5.14,22307.6,11717.76,10589.84,19,87.5
CHC-00030,Citrus Ruby Chocolate Truffle Box,Velvet Cacao,Ruby,Portland Factory A,USA,Amazon Cacao Growers,4089,3493,7.12,24870.16,15865.32,9004.84,643,90.3
CHC-00031,Almond Crunch Chocolate Filled Bar,Highland Cacao,Almond,Portland Factory A,USA,TerraFair Trade Beans,5106,4710,3.96,18651.6,10875.78,7775.82,558,82.4
CHC-00032,Espresso Infused Dark Chocolate Truffle Box,Blue Ridge Chocolatiers,Dark,Lima Factory S,Peru,Coastal Coconut Co.,2933,2510,5.34,13403.4,9209.62,4193.78,533,79.2
CHC-00033,Single Origin Dark Chocolate Coated Nuts,Whisk & Wonder,Dark,Shanghai Factory L,China,Sahara Nut Suppliers,3379,2772,4.42,12252.24,7264.85,4987.39,641,99.5
CHC-00034,Soft Caramel Core Chocolate Gift Box,Cocoa Bloom,Caramel,Bern Factory B,Switzerland,Ghana Bean Collective,2338,2174,3.93,8543.82,5938.52,2605.3,202,92.4
CHC-00035,Single Origin Dark Chocolate Truffle Box,Blue Ridge Chocolatiers,Dark,Hershey Falls Factory X,USA,Sunrise Vanilla Farms,3481,3829,5.89,22552.81,9642.37,12910.44,10,92.4
CHC-00036,Almond Crunch Chocolate Gift Box,Highland Cacao,Almond,Guayaquil Factory Q,Ecuador,TerraFair Trade Beans,3637,2720,3.1,8432.0,5855.57,2576.43,1008,89.3
CHC-00037,Value Pack Compound Chocolate Gift Box,Velvet Cacao,Compound,Lima Factory S,Peru,Coastal Coconut Co.,3738,3348,2.24,7499.52,4373.46,3126.06,435,96.3
CHC-00038,Espresso Infused Dark Chocolate Wafer Bar,Ember & Oak,Dark,Bruges Factory D,Belgium,Pacific Sugar Mills,4066,2952,5.28,15586.56,11954.04,3632.52,1219,90.6
CHC-00039,Almond Crunch Chocolate Truffle Box,Velvet Cacao,Almond,Antwerp Factory A,Belgium,Nordic Milk Co.,4291,3615,3.53,12760.95,9654.75,3106.2,870,79.2
CHC-00040,Confectionery Grade Compound Chocolate Coated Nuts,Cacao Nomad,Compound,Cologne Factory F,Germany,Amazon Cacao Growers,4058,3512,2.32,8147.84,6249.32,1898.52,809,88.3
CHC-00041,Almond Crunch Chocolate Drops,Golden Bean Co.,Almond,Bristol Factory H,United Kingdom,TerraFair Trade Beans,5433,4346,4.16,18079.36,10811.67,7267.69,1291,95.3
CHC-00042,Gianduja Style Hazelnut Chocolate Filled Bar,Ember & Oak,Hazelnut,Oaxaca Factory Z,Mexico,Sunrise Vanilla Farms,7251,6618,5.58,36928.44,25596.03,11332.41,909,76.9
CHC-00043,Soft Caramel Core Chocolate Coated Nuts,Cacao Nomad,Caramel,Bordeaux Factory D,France,Andes Bean Exporters,5946,5953,2.94,17501.82,11773.08,5728.74,41,84.2
CHC-00044,Raspberry Swirl White Chocolate Chips (Baking),Bean & Bloom,White,Bordeaux Factory D,France,Coastal Coconut Co.,1615,1350,4.17,5629.5,4425.1,1204.4,310,88.8
CHC-00045,Organic Single Origin Chocolate Truffle Box,Northstar Confectionery,Organic,Shanghai Factory L,China,Alpine Dairy Co.,11777,9250,7.02,64935.0,37921.94,27013.06,2621,88.4
CHC-00046,Plant-Based Classic Vegan Dark Chocolate Filled Bar,Ember & Oak,Vegan Dark,Lyon Factory G,France,TerraFair Trade Beans,12361,10256,4.94,50664.64,29913.62,20751.02,2349,84.0
CHC-00047,Espresso Infused Dark Chocolate Bar,Whisk & Wonder,Dark,Abidjan Factory U,Cote d'Ivoire,TerraFair Trade Beans,2804,2532,5.32,13470.24,6925.88,6544.36,442,89.7
CHC-00048,Citrus Ruby Chocolate Filled Bar,Pure Bloom Chocolatiers,Ruby,Jakarta Factory O,Indonesia,Pacific Sugar Mills,2513,1955,6.19,12101.45,7614.39,4487.06,669,90.8
CHC-00049,Cranberry Walnut Fruit & Nut Chocolate Wafer Bar,Amber Cacao Co.,Fruit & Nut,Pune Factory K,India,Nordic Milk Co.,5543,4670,4.77,22275.9,11640.3,10635.6,898,100.0
CHC-00050,Biscuit Milk Chocolate Wafer Bar,Whisk & Wonder,Milk,Sao Paulo Factory P,Brazil,Meridian Cacao Exchange,2393,2292,2.47,5661.24,2728.02,2933.22,234,82.7
CHC-00051,Tropical Mix Fruit & Nut Chocolate Pralines,Whisk & Wonder,Fruit & Nut,Bern Factory B,Switzerland,Pacific Sugar Mills,8054,7252,4.0,29008.0,18765.82,10242.18,1051,88.0
CHC-00052,85% Extra Bold Dark Chocolate Pralines,Velvet Cacao,Dark,Guayaquil Factory Q,Ecuador,Global Cocoa Partners,1504,1592,6.28,9997.76,4466.88,5530.88,119,80.8
CHC-00053,Organic Raw Cacao Chocolate Bar,Cacao & Co.,Organic,Jakarta Factory O,Indonesia,Sahara Nut Suppliers,3110,2885,6.55,18896.75,11942.4,6954.35,267,96.0
CHC-00054,Raisin & Almond Fruit & Nut Chocolate Drops,Highland Cacao,Fruit & Nut,Montreal Factory Y,Canada,Meridian Cacao Exchange,1068,1066,2.92,3112.72,1922.4,1190.32,64,90.9
CHC-00055,Classic Milk Chocolate Drops,Cocoa Bloom,Milk,Hershey Falls Factory X,USA,TerraFair Trade Beans,6802,5212,2.37,12352.44,10543.1,1809.34,1636,92.3
CHC-00056,Honeycomb Milk Chocolate Bar,Copper Kettle Chocolate,Milk,Munich Factory C,Germany,Meridian Cacao Exchange,10460,8387,3.2,26838.4,15899.2,10939.2,2106,91.5
CHC-00057,85% Extra Bold Dark Chocolate Filled Bar,Auric Chocolate,Dark,Pune Factory K,India,EcoPack Solutions,1540,1099,5.56,6110.44,4142.6,1967.84,484,100.0
CHC-00058,Value Pack Compound Chocolate Pralines,Whisk & Wonder,Compound,Hershey Falls Factory X,USA,Amazon Cacao Growers,2824,2097,1.42,2977.74,2400.4,577.34,877,85.9
CHC-00059,Value Pack Compound Chocolate Gift Box,Rainforest Bloom,Compound,Guadalajara Factory C,Mexico,Continental Sugar Corp,12155,9947,1.28,12732.16,7293.0,5439.16,2364,90.1
CHC-00060,Bakers Classic Compound Chocolate Wafer Bar,Noir Origins,Compound,Cape Town Factory V,South Africa,Sunrise Vanilla Farms,4909,4376,1.3,5688.8,3878.11,1810.69,714,92.0
CHC-00061,Espresso Infused Dark Chocolate Coated Nuts,Blue Ridge Chocolatiers,Dark,Montreal Factory Y,Canada,Global Cocoa Partners,7808,5933,3.36,19934.88,14757.12,5177.76,2070,80.7
CHC-00062,Classic Milk Chocolate Drops,Cacao Nomad,Milk,Abidjan Factory U,Cote d'Ivoire,Pacific Sugar Mills,2153,1875,4.2,7875.0,5877.69,1997.31,448,77.3
CHC-00063,Sea Salt Caramel Chocolate Squares,Silk Route Chocolate,Caramel,Turin Factory J,Italy,Nordic Milk Co.,3479,2643,4.32,11417.76,7166.74,4251.02,949,94.0
CHC-00064,Citrus Ruby Chocolate Pralines,Noir Origins,Ruby,Guadalajara Factory C,Mexico,Sahara Nut Suppliers,1397,1210,5.71,6909.1,5071.11,1837.99,400,89.0
CHC-00065,Diabetic Friendly Sugar-Free Chocolate Truffle Box,Terra Cacao,Sugar-Free,Turin Factory J,Italy,Global Cocoa Partners,1333,1010,3.51,3545.1,2172.79,1372.31,403,93.8
CHC-00066,Lemon Zest White Chocolate Pralines,Cacao Verde,White,Lima Factory S,Peru,Pacific Sugar Mills,2179,2129,2.39,5088.31,3290.29,1798.02,196,88.0
CHC-00067,Honeycomb Milk Chocolate Squares,Pure Bloom Chocolatiers,Milk,Amsterdam Factory I,Netherlands,Amazon Cacao Growers,15969,13873,3.36,46613.28,23953.5,22659.78,2273,86.7
CHC-00068,Honeycomb Milk Chocolate Drops,Ember & Oak,Milk,Osaka Factory M,Japan,Sahara Nut Suppliers,1711,1432,3.57,5112.24,3011.36,2100.88,544,86.6
CHC-00069,Sea Salt Milk Chocolate Pralines,Copper Kettle Chocolate,Milk,Montreal Factory Y,Canada,TerraFair Trade Beans,1903,1800,3.7,6660.0,4586.23,2073.77,163,89.7
CHC-00070,70% Intense Dark Chocolate Chips (Baking),Velvet Cacao,Dark,Portland Factory A,USA,Alpine Dairy Co.,6982,6041,3.0,18123.0,10822.1,7300.9,1152,85.8
CHC-00071,85% Extra Bold Dark Chocolate Filled Bar,Sunset Grove Chocolate,Dark,Turin Factory J,Italy,Sunrise Vanilla Farms,33850,27288,4.92,134256.96,88687.0,45569.96,6681,85.5
CHC-00072,Whole Hazelnut Chocolate Chips (Baking),Ivory & Cocoa,Hazelnut,Guadalajara Factory C,Mexico,Ivory Cocoa Traders,3053,2728,3.27,8920.56,6106.0,2814.56,395,97.0
CHC-00073,Classic Milk Chocolate Gift Box,Choco Artisan,Milk,Pune Factory K,India,Andes Bean Exporters,1731,1580,2.98,4708.4,3462.0,1246.4,246,95.6
CHC-00074,85% Extra Bold Dark Chocolate Bar,Choco Artisan,Dark,Accra Factory T,Ghana,TerraFair Trade Beans,7104,6224,4.35,27074.4,13781.76,13292.64,1007,88.1
CHC-00075,Salted Butter Caramel Chocolate Gift Box,Cacao & Co.,Caramel,Cologne Factory F,Germany,Continental Sugar Corp,1543,1262,4.15,5237.3,3363.74,1873.56,426,99.5
CHC-00076,Espresso Infused Dark Chocolate Truffle Box,Noir Origins,Dark,Medellin Factory R,Colombia,Alpine Dairy Co.,4222,4036,4.95,19978.2,12708.22,7269.98,415,84.8
CHC-00077,70% Intense Dark Chocolate Wafer Bar,Bean & Bloom,Dark,Jakarta Factory O,Indonesia,Nordic Milk Co.,1258,1193,5.99,7146.07,3434.34,3711.73,206,94.7
CHC-00078,Tropical Mix Fruit & Nut Chocolate Coated Nuts,Silk Route Chocolate,Fruit & Nut,Guadalajara Factory C,Mexico,Global Cocoa Partners,8377,8571,3.36,28798.56,12733.04,16065.52,10,95.8
CHC-00079,Classic Milk Chocolate Coated Nuts,Wildflower Cacao,Milk,Bordeaux Factory D,France,Sunrise Vanilla Farms,9140,8991,3.9,35064.9,20473.6,14591.3,284,86.6
CHC-00080,Honeycomb Milk Chocolate Bar,Cocoa Bloom,Milk,Sao Paulo Factory P,Brazil,Meridian Cacao Exchange,2331,2143,3.31,7093.33,4801.86,2291.47,245,99.9
CHC-00081,Almond Crunch Chocolate Wafer Bar,Golden Bean Co.,Almond,Zurich Factory E,Switzerland,Heritage Almond Growers,3065,2595,5.36,13909.2,8949.8,4959.4,655,80.6
CHC-00082,Original Ruby Chocolate Coated Nuts,Cocoa Bloom,Ruby,Melbourne Factory N,Australia,Heritage Almond Growers,5814,5097,4.06,20693.82,14360.58,6333.24,767,88.1
CHC-00083,Coconut White Chocolate Coated Nuts,Terra Cacao,White,Montreal Factory Y,Canada,Amazon Cacao Growers,1813,1978,4.04,7991.12,3499.09,4492.03,114,84.6
CHC-00084,Roasted Almond Chocolate Squares,Cocoa Bloom,Almond,Sao Paulo Factory P,Brazil,Alpine Dairy Co.,12598,11543,5.14,59331.02,39431.74,19899.28,1307,98.3
